tick, sec, speed, distance, spdacm, x, y, energy
137, 2.283333, 1.048277, 97.179827, 96.144531, 596.144531, 109.000000, 1133049333.333333
138, 2.300000, 1.037873, 98.217700, 97.195313, 597.195313, 109.000000, 1133049333.333333
139, 2.316667, 1.027469, 99.245169, 98.230469, 598.230469, 109.000000, 1133049333.333333
140, 2.333333, 1.017067, 100.262236, 99.257813, 599.257813, 109.000000, 1133049333.333333
141, 2.350000, 1.006666, 101.268901, 100.277344, 600.277344, 109.000000, 1133049333.333333
142, 2.366667, 0.996265, 102.265167, 101.281250, 601.281250, 109.000000, 1133049333.333333
143, 2.383333, 0.985866, 103.251033, 102.281250, 602.281250, 109.000000, 1133049333.333333
144, 2.400000, 0.975468, 104.226501, 103.265625, 603.265625, 109.000000, 1133049333.333333
145, 2.416667, 0.965071, 105.191572, 104.242188, 604.242188, 109.000000, 1133049333.333333
146, 2.433333, 0.954676, 106.146248, 105.207031, 605.207031, 109.000000, 1133049333.333333
147, 2.450000, 0.944281, 107.090529, 106.160156, 606.160156, 109.000000, 1133049333.333333
148, 2.466667, 0.933888, 108.024418, 107.105469, 607.105469, 109.000000, 1133049333.333333
149, 2.483333, 0.923497, 108.947914, 108.039063, 608.039063, 109.000000, 1133049333.333333
150, 2.500000, 0.913106, 109.861020, 108.960938, 608.960938, 109.000000, 1133049333.333333
151, 2.516667, 0.902717, 110.763737, 109.875000, 609.875000, 109.000000, 1133049333.333333
152, 2.533333, 0.892329, 111.656067, 110.777344, 610.777344, 109.000000, 1133049333.333333
153, 2.550000, 0.881943, 112.538009, 111.671875, 611.671875, 109.000000, 1133049333.333333
154, 2.566667, 0.871558, 113.409567, 112.550781, 612.550781, 109.000000, 1133049333.333333
155, 2.583333, 0.861174, 114.270742, 113.425781, 613.425781, 109.000000, 1133049333.333333
156, 2.600000, 0.850793, 115.121534, 114.285156, 614.285156, 109.000000, 1133049333.333333
157, 2.616667, 0.840412, 115.961946, 115.136719, 615.136719, 109.000000, 1133049333.333333
158, 2.633333, 0.830033, 116.791980, 115.976563, 615.976563, 109.000000, 1133049333.333333
159, 2.650000, 0.819656, 117.611636, 116.804688, 616.804688, 109.000000, 1133049333.333333
160, 2.666667, 0.809281, 118.420916, 117.625000, 617.625000, 109.000000, 1133049333.333333
161, 2.683333, 0.798907, 119.219823, 118.433594, 618.433594, 109.000000, 1133049333.333333
162, 2.700000, 0.788535, 120.008358, 119.234375, 619.234375, 109.000000, 1133049333.333333
163, 2.716667, 0.778164, 120.786523, 120.023438, 620.023438, 109.000000, 1133049333.333333
164, 2.733333, 0.767796, 121.554319, 120.800781, 620.800781, 109.000000, 1133049333.333333
165, 2.750000, 0.757430, 122.311748, 121.570313, 621.570313, 109.000000, 1133049333.333333
166, 2.766667, 0.747065, 123.058813, 122.324219, 622.324219, 109.000000, 1133049333.333333
167, 2.783333, 0.736702, 123.795515, 123.074219, 623.074219, 109.000000, 1133049333.333333
168, 2.800000, 0.726342, 124.521857, 123.808594, 623.808594, 109.000000, 1133049333.333333
169, 2.816667, 0.715983, 125.237840, 124.535156, 624.535156, 109.000000, 1133049333.333333
